Curve Energy
229500.0 -23802.03626323763
229750.0 -23802.33263090321
230000.0 -23802.61682227266
230250.0 -23801.03685366415
230500.0 -23801.87668139486
230750.0 -23802.04970469064
231000.0 -23801.00987948527
231250.0 -23802.0379359971
231500.0 -23801.46325633823
231750.0 -23801.66996950828
232000.0 -23802.43915883906
232250.0 -23802.03535733281
232500.0 -23801.45920343998
232750.0 -23802.23259228259
233000.0 -23801.77131660337
233250.0 -23801.39032141739
233500.0 -23801.22377060116
233750.0 -23802.50498882512
234000.0 -23802.6738887949
234250.0 -23801.81383280696
234500.0 -23801.41047088469
234750.0 -23800.59130845264
235000.0 -23801.62758559196
235250.0 -23801.82113967259
235500.0 -23802.00132911006
235750.0 -23802.00087165766
236000.0 -23800.78676921413
236250.0 -23802.82053645495
236500.0 -23803.10015367968
236750.0 -23802.57117827552
237000.0 -23801.94872255451
237250.0 -23803.0132058813
237500.0 -23803.06571052905
237750.0 -23802.04122861547
238000.0 -23803.06713446959
238250.0 -23802.74660959397
238500.0 -23803.80575269767
238750.0 -23802.31171791213
239000.0 -23803.00186974043
239250.0 -23802.11455946823
239500.0 -23802.87428528439
239750.0 -23802.12283136454
240000.0 -23801.65829551443
240250.0 -23802.74263480135
240500.0 -23802.48559491253
240750.0 -23802.60298913509
241000.0 -23802.00639420134
241250.0 -23802.33219237052
241500.0 -23801.96437750624
241750.0 -23802.07474640248
242000.0 -23801.79767547582
242250.0 -23802.00636251816
242500.0 -23802.02631142491
242750.0 -23801.70225409853
243000.0 -23802.25451254048
243250.0 -23801.32616550009
243500.0 -23801.88206651665
243750.0 -23801.74797212677
244000.0 -23800.83070397831
244250.0 -23801.56514809329
244500.0 -23800.57017521929
244750.0 -23800.17661156034
245000.0 -23801.94838124889
245250.0 -23801.8936292525
245500.0 -23801.32125683162
245750.0 -23800.87335197934
246000.0 -23801.52192682627
246250.0 -23801.7123193565
246500.0 -23801.20198716637
246750.0 -23803.02087355249
247000.0 -23801.92498028634
247250.0 -23801.8741840485
247500.0 -23801.10984644987
247750.0 -23801.63348149168
248000.0 -23800.92623172544
